,地震編號,臺灣時間,Longitude,Latitude,magnitude,depth,震央位置
315,小區域,2月08日07時15分,121.6,24.04,3,8.4,花蓮縣政府北偏西方  5.5  公里 (位於花蓮縣新城鄉)
316,小區域,2月08日07時23分,121.54,23.96,3,22.1,花蓮縣政府西偏南方  8.3  公里 (位於花蓮縣吉安鄉)
317,小區域,2月08日07時53分,121.6,23.98,3.4,2.7,花蓮縣政府西偏南方  1.8  公里 (位於花蓮縣花蓮市)
318,第052號,2月08日08時54分,121.58,23.99,4.8,7.6,花蓮縣政府西方  4.1  公里 (位於花蓮縣吉安鄉)
319,第053號,2月08日08時54分,121.55,24.01,4.6,9.6,花蓮縣政府西偏北方  7.3  公里 (位於花蓮縣秀林鄉)
320,第054號,2月08日08時59分,121.57,23.99,4,7.5,花蓮縣政府西方  4.9  公里 (位於花蓮縣吉安鄉)
321,小區域,2月08日09時08分,121.57,23.99,3.2,9.8,花蓮縣政府西方  4.8  公里 (位於花蓮縣吉安鄉)
322,小區域,2月08日09時16分,121.59,23.99,3.3,8.5,花蓮縣政府西方  3.1  公里 (位於花蓮縣吉安鄉)
323,小區域,2月08日09時26分,121.72,24.13,3.5,11.6,花蓮縣政府東北方  18.1  公里 (位於花蓮縣近海)
324,小區域,2月08日09時35分,121.57,24.01,3.5,6.8,花蓮縣政府西偏北方  5.7  公里 (位於花蓮縣秀林鄉)
325,小區域,2月08日09時53分,121.58,23.98,3.5,9.5,花蓮縣政府西偏南方  3.9  公里 (位於花蓮縣吉安鄉)
326,小區域,2月08日09時56分,121.56,24.05,2.8,10.3,花蓮縣政府西北方  9.1  公里 (位於花蓮縣秀林鄉)
327,小區域,2月08日10時20分,121.56,23.99,3.4,9.8,花蓮縣政府西方  5.8  公里 (位於花蓮縣吉安鄉)
328,小區域,2月08日10時41分,121.73,24.19,3.7,19.4,花蓮縣政府北偏東方  24.7  公里 (位於花蓮縣近海)
329,第055號,2月08日11時06分,121.59,23.99,4.5,9,花蓮縣政府西方  3.2  公里 (位於花蓮縣吉安鄉)
330,第056號,2月08日11時15分,121.59,23.99,4,5,花蓮縣政府西方  3.1  公里 (位於花蓮縣吉安鄉)
331,小區域,2月08日11時20分,121.59,23.99,3.2,8.4,花蓮縣政府西方  2.9  公里 (位於花蓮縣吉安鄉)
332,小區域,2月08日11時23分,121.56,23.98,3.7,7.1,花蓮縣政府西方  6.6  公里 (位於花蓮縣吉安鄉)
333,小區域,2月08日12時23分,121.6,23.98,3.9,8.5,花蓮縣政府西偏南方  2.0  公里 (位於花蓮縣花蓮市)
334,小區域,2月08日13時06分,121.58,24,3.6,9.3,花蓮縣政府西方  4.1  公里 (位於花蓮縣花蓮市)
335,小區域,2月08日13時07分,121.57,24.01,3.4,5.8,花蓮縣政府西偏北方  5.3  公里 (位於花蓮縣秀林鄉)
336,小區域,2月08日13時51分,121.89,24.09,4.8,12.5,花蓮縣政府東偏北方  29.8  公里 (位於臺灣東部海域)
337,小區域,2月08日15時03分,121.6,24.04,3.6,13.3,花蓮縣政府北偏西方  6.2  公里 (位於花蓮縣新城鄉)
338,小區域,2月08日15時16分,121.79,24.06,4.1,5.8,花蓮縣政府東偏北方  18.9  公里 (位於臺灣東部海域)
339,小區域,2月08日15時34分,121.72,24.23,3.8,12.6,花蓮縣政府北偏東方  28.5  公里 (位於花蓮縣近海)
340,小區域,2月08日16時21分,121.6,24.1,3.4,7.6,花蓮縣政府北偏西方  12.2  公里 (位於花蓮縣秀林鄉)
341,小區域,2月08日16時24分,121.56,23.67,4,40.1,花蓮縣政府南方  36.3  公里 (位於花蓮縣近海)
342,小區域,2月08日16時40分,121.67,24.13,3.5,16.3,花蓮縣政府北偏東方  16.2  公里 (位於花蓮縣近海)
343,小區域,2月08日17時36分,121.59,23.99,3.8,6.8,花蓮縣政府西方  3.1  公里 (位於花蓮縣吉安鄉)
344,小區域,2月08日17時55分,121.59,24.05,3.4,13.3,花蓮縣政府北偏西方  7.6  公里 (位於花蓮縣秀林鄉)
345,小區域,2月08日18時02分,121.61,24,3.2,5,花蓮縣政府西偏北方  1.0  公里 (位於花蓮縣花蓮市)
346,小區域,2月08日18時05分,121.58,23.97,3.1,10.4,花蓮縣政府西偏南方  5.1  公里 (位於花蓮縣吉安鄉)
347,小區域,2月08日18時09分,121.68,24.25,3.5,13.4,花蓮縣政府北偏東方  29.2  公里 (位於花蓮縣秀林鄉)
348,小區域,2月08日21時22分,121.74,24.18,3.7,12.8,花蓮縣政府北偏東方  24.4  公里 (位於花蓮縣近海)
349,小區域,2月08日21時52分,121.71,24.21,3.5,17.3,花蓮縣政府北偏東方  26.6  公里 (位於花蓮縣近海)
350,小區域,2月08日22時42分,121.69,24.1,3.8,13.6,花蓮縣政府北偏東方  13.4  公里 (位於花蓮縣近海)
351,小區域,2月08日23時38分,121.57,23.97,3,7.5,花蓮縣政府西偏南方  6.0  公里 (位於花蓮縣吉安鄉)
352,小區域,2月09日00時06分,121.77,24.45,3.8,9.6,宜蘭縣政府南方  31.6  公里 (位於宜蘭縣南澳鄉)
353,小區域,2月09日01時02分,121.59,24.02,3.4,16,花蓮縣政府西北方  4.6  公里 (位於花蓮縣新城鄉)
354,小區域,2月09日01時17分,121.61,24.05,3.3,7.6,花蓮縣政府北偏西方  6.5  公里 (位於花蓮縣新城鄉)
355,小區域,2月09日03時11分,121.83,24.1,4,15.7,花蓮縣政府東偏北方  24.8  公里 (位於臺灣東部海域)
356,小區域,2月09日04時03分,121.68,24.06,3.5,10.9,花蓮縣政府東北方  10.2  公里 (位於花蓮縣近海)
357,小區域,2月09日04時14分,121.85,24.04,4.1,7.2,花蓮縣政府東偏北方  23.7  公里 (位於臺灣東部海域)
358,小區域,2月09日05時51分,121.66,24.22,3.6,14.7,花蓮縣政府北方  25.1  公里 (位於花蓮縣秀林鄉)
359,小區域,2月09日06時15分,121.54,23.92,3.4,6.9,花蓮縣政府西南方  11.6  公里 (位於花蓮縣壽豐鄉)
360,小區域,2月09日07時39分,121.68,24.27,3.5,5.8,花蓮縣政府北偏東方  31.0  公里 (位於花蓮縣秀林鄉)
361,小區域,2月09日08時31分,121.53,23.99,2.7,5.6,花蓮縣政府西方  9.1  公里 (位於花蓮縣吉安鄉)
362,小區域,2月09日08時34分,121.57,24.04,2.9,8.9,花蓮縣政府西北方  7.4  公里 (位於花蓮縣秀林鄉)
363,小區域,2月09日08時46分,121.57,23.99,3.2,15.8,花蓮縣政府西方  5.4  公里 (位於花蓮縣吉安鄉)
364,小區域,2月09日09時21分,121.55,24.04,2.9,9.6,花蓮縣政府西北方  8.5  公里 (位於花蓮縣秀林鄉)
365,第057號,2月09日10時14分,121.61,23.95,4.6,23.4,花蓮縣政府南偏西方  5.0  公里 (位於花蓮縣近海)
366,小區域,2月09日11時35分,121.69,24.12,3.6,10.8,花蓮縣政府北偏東方  15.7  公里 (位於花蓮縣近海)
367,小區域,2月09日11時56分,121.6,23.94,3.9,25.3,花蓮縣政府南偏西方  6.1  公里 (位於花蓮縣壽豐鄉)
368,小區域,2月09日12時05分,121.56,23.95,3.1,21.6,花蓮縣政府西偏南方  7.8  公里 (位於花蓮縣吉安鄉)
369,小區域,2月09日13時59分,121.59,23.97,3.1,9.2,花蓮縣政府西南方  4.1  公里 (位於花蓮縣吉安鄉)
370,小區域,2月09日14時03分,121.59,23.97,3.2,9.8,花蓮縣政府西南方  3.5  公里 (位於花蓮縣吉安鄉)
371,小區域,2月09日19時21分,121.82,24.06,4.2,10.5,花蓮縣政府東偏北方  21.7  公里 (位於臺灣東部海域)
372,小區域,2月09日22時45分,121.8,24.06,4.3,4.4,花蓮縣政府東偏北方  19.9  公里 (位於臺灣東部海域)
373,小區域,2月10日00時37分,121.59,24,3.1,8.1,花蓮縣政府西偏北方  3.2  公里 (位於花蓮縣花蓮市)
374,小區域,2月10日01時33分,121.68,24.24,3.8,15.4,花蓮縣政府北偏東方  27.7  公里 (位於花蓮縣秀林鄉)
375,第058號,2月10日02時43分,121.8,24.06,4.3,5,花蓮縣政府東偏北方  19.5  公里 (位於臺灣東部海域)
376,小區域,2月10日04時25分,121.58,24,3.5,5,花蓮縣政府西偏北方  4.0  公里 (位於花蓮縣花蓮市)
377,小區域,2月10日05時26分,121.52,24,3.4,5,花蓮縣政府西方  10.7  公里 (位於花蓮縣秀林鄉)
378,小區域,2月10日05時51分,121.56,24.01,3,10.5,花蓮縣政府西偏北方  6.7  公里 (位於花蓮縣秀林鄉)
379,小區域,2月10日06時31分,121.56,24,3,10.4,花蓮縣政府西方  6.4  公里 (位於花蓮縣花蓮市)
380,小區域,2月10日08時55分,121.61,24.05,3.7,7.5,花蓮縣政府北方  6.4  公里 (位於花蓮縣新城鄉)
381,小區域,2月10日09時01分,121.62,24.06,3.2,10.1,花蓮縣政府北方  7.3  公里 (位於花蓮縣近海)
382,小區域,2月10日09時31分,121.56,23.99,2.8,10.2,花蓮縣政府西方  6.5  公里 (位於花蓮縣吉安鄉)
383,小區域,2月10日10時24分,121.59,24.02,3.4,15.6,花蓮縣政府西北方  4.5  公里 (位於花蓮縣新城鄉)
384,小區域,2月10日11時56分,121.54,23.91,3.6,8,花蓮縣政府西南方  12.0  公里 (位於花蓮縣壽豐鄉)
385,小區域,2月10日11時59分,121.55,23.9,3.1,9.5,花蓮縣政府西南方  12.4  公里 (位於花蓮縣壽豐鄉)
386,小區域,2月10日13時16分,121.61,24.02,3.3,7,花蓮縣政府北偏西方  3.4  公里 (位於花蓮縣新城鄉)
387,小區域,2月10日13時55分,121.61,24.03,3.2,8.2,花蓮縣政府北方  4.8  公里 (位於花蓮縣新城鄉)
388,小區域,2月10日14時44分,121.57,24.05,3.1,4.8,花蓮縣政府西北方  7.9  公里 (位於花蓮縣秀林鄉)
389,小區域,2月10日15時10分,121.75,24.16,4,5.4,花蓮縣政府東北方  23.1  公里 (位於花蓮縣近海)
390,小區域,2月10日15時37分,121.58,23.99,3.5,5,花蓮縣政府西方  3.6  公里 (位於花蓮縣吉安鄉)
391,第059號,2月10日15時48分,121.81,24.23,4.3,9.3,花蓮縣政府東北方  32.9  公里 (位於臺灣東部海域)
